Capital_Call_Date,Triggering_Investment,Total_Capital_Called_for_Deal,Investor,Investor_Contribution,Cumulative_Contribution,Total_Commitment,Remaining_Commitment
2005-02-28,Paris Geneenterprie,2085237605.0,Amelia Chen,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Noah Sullivan,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Priya Deshmukh,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Luca Moretti,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Isabella Vargas,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Ethan Gallagher,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Aisha Mensah,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-02-28,Paris Geneenterprie,2085237605.0,Kenji Watanabe,260654701.0,260654701.0,5000000000.0,4739345299.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Amelia Chen,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Noah Sullivan,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Priya Deshmukh,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Luca Moretti,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Isabella Vargas,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Ethan Gallagher,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Aisha Mensah,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,Bahrain Pharma Energy,1284452786.0,Kenji Watanabe,160556598.0,421211299.0,5000000000.0,4578788701.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Amelia Chen,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Noah Sullivan,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Priya Deshmukh,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Luca Moretti,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Isabella Vargas,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Ethan Gallagher,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Aisha Mensah,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-10-31,(inc.) Nexuslogitic,1310286824.0,Kenji Watanabe,163785853.0,584997152.0,5000000000.0,4415002848.0
2005-12-31,Britannia Ez Energy,2938681887.0,Amelia Chen,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Noah Sullivan,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Priya Deshmukh,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Luca Moretti,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Isabella Vargas,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Ethan Gallagher,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Aisha Mensah,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Britannia Ez Energy,2938681887.0,Kenji Watanabe,367335236.0,952332388.0,5000000000.0,4047667612.0
2005-12-31,Visiondynamic Uk,601939398.0,Amelia Chen,75242425.0,1027574812.0,5000000000.0,3972425188.0
